Account,Final_Score,Final_Decision
10730734532,375,Accept
10803550208,77,Reject
10769083290,307,Accept
10072636331,250,Refer
10737329597,332,Accept
10464533150,301,Refer
10238114351,385,Accept
10639250159,61,Reject
10686407596,278,Refer
10130851809,212,Refer
10514876556,254,Refer
10640844166,364,Accept
10932362349,305,Accept
10276673518,278,Refer
10501295948,271,Refer
10952897373,342,Accept
10908337660,204,Refer
10997648464,361,Accept
10481242145,264,Refer
10597057716,340,Accept
10632413494,32,Reject
10896305243,230,Refer
10324892199,288,Refer
10542085778,373,Accept
10550331373,373,Accept
10051597140,267,Refer
10718121688,171,Refer
10049306975,330,Accept
10704729110,359,Accept
10090130280,351,Accept
10390363504,373,Accept
10324062758,312,Accept
10736619925,108,Reject
10238969423,354,Accept
10784062119,287,Refer
10763769730,373,Accept
10187942723,356,Accept
10068274934,254,Refer
10466538730,346,Accept
10657972924,385,Accept
10473390744,248,Refer
10489251622,193,Refer
10141176117,416,Accept
10736843252,403,Accept
10768608104,311,Accept
10543007837,169,Refer
10058894696,363,Accept
10034550869,299,Refer
10435551419,219,Refer
10316526862,158,Refer
10960618823,385,Accept
10665361807,135,Reject
10740379650,328,Accept
10223737419,242,Refer
10339999272,311,Accept
10641535370,200,Refer
10297822962,294,Refer
10562094687,352,Accept
10326124664,184,Refer
10231363730,206,Refer
10326385250,365,Accept
10946029283,308,Accept
10159550532,390,Accept
10678990282,102,Reject
10073638440,75,Reject
10911719842,250,Refer
10463503408,315,Accept
10131712745,226,Refer
10914651446,197,Refer
10518353569,278,Refer
10896791477,92,Reject
10650211307,388,Accept
10562966539,454,Accept
10856304609,340,Accept
10138230486,284,Refer
10224615231,330,Accept
10575343265,144,Refer
10914316298,224,Refer
10596636779,169,Refer
10016892099,332,Accept
10342605237,385,Accept
10832775847,134,Reject
10673560829,297,Refer
10637852662,249,Refer
10578461130,199,Refer
10708644506,319,Accept
10053572522,297,Refer
10075286760,202,Refer
10038573304,340,Accept
10424952571,147,Refer
10306961712,417,Accept
10870782033,265,Refer
10062328826,178,Refer
10976408862,226,Refer
10587380220,311,Accept
10478456556,111,Reject
10269477705,229,Refer
10180406807,281,Refer
10176265143,260,Refer
10103867042,247,Refer
10076422600,373,Accept
10392927510,311,Accept
10350862858,248,Refer
10042207509,227,Refer
10374459396,257,Refer
10848059112,207,Refer
10051403777,344,Accept
10912598613,119,Reject
10131010351,326,Accept
10248630629,363,Accept
10577757546,220,Refer
10386691672,35,Reject
10633543738,275,Refer
10949583979,223,Refer
10584764114,271,Refer
10378363093,322,Accept
10283337917,373,Accept
10548224330,170,Refer
10878113355,226,Refer
10708235177,256,Refer
10015323638,195,Refer
10406636563,321,Accept
10144343890,238,Refer
10042916324,245,Refer
10401473567,264,Refer
10201455391,163,Refer
10311761317,321,Accept
10437972542,232,Refer
10116862197,210,Refer
10255677502,255,Refer
10579017029,182,Refer
10576213927,173,Refer
10589018273,248,Refer
10538561929,375,Accept
10306282412,270,Refer
10050798081,308,Accept
10588132005,219,Refer
10375516721,161,Refer
10427554089,343,Accept
10372077253,242,Refer
10051977966,213,Refer
10924619635,360,Accept
10034500332,240,Refer
10609001322,151,Refer
10624036494,186,Refer
10481643164,239,Refer
10264982276,385,Accept
10303708750,301,Refer
10524150167,270,Refer
10145623547,291,Refer
10148921168,279,Refer
10320141754,228,Refer
10575317320,276,Refer
10430500175,308,Accept
10551074229,156,Refer
10532827518,203,Refer
10676128116,218,Refer
10188509171,328,Accept
10783363220,155,Refer
10467273918,373,Accept
10750175655,271,Refer
10870626171,342,Accept
10907589098,120,Reject
10774751321,139,Refer
10776274730,140,Refer
10102315869,280,Refer
10786023051,181,Refer
10789868158,246,Refer
10263156561,310,Accept
10244423598,185,Refer
10106304459,248,Refer
10285696402,330,Accept
10170175525,330,Accept
10703898818,145,Refer
10361911672,304,Accept
10533363723,281,Refer
10468245559,255,Refer
10041199957,450,Accept
10891999764,373,Accept
10682927857,261,Refer
10630547037,61,Reject
10741855258,363,Accept
10575893756,179,Refer
10973641154,242,Refer
10453949636,274,Refer
10535153963,213,Refer
10965308388,363,Accept
10707952039,167,Refer
10202448384,334,Accept
10471980978,265,Refer
10849462793,299,Refer
10240797049,342,Accept
10028742045,303,Accept
10847971045,278,Refer
10485191907,162,Refer
10484918436,240,Refer
10635492591,363,Accept
10557430787,323,Accept
10702711901,271,Refer
10764932370,232,Refer
10166996878,125,Reject
10137140997,330,Accept
10590623162,307,Accept
10622680927,222,Refer
10136445810,312,Accept
10602455098,350,Accept
10964397528,413,Accept
10806054474,248,Refer
10274765759,250,Refer
10919430058,207,Refer
10141451952,361,Accept
10080463585,351,Accept
10060305101,299,Refer
10119993078,146,Refer
10082394759,292,Refer
10016576103,259,Refer
10722433069,143,Refer
10677775272,361,Accept
10225857183,209,Refer
10823296761,287,Refer
10432123626,366,Accept
10238089012,195,Refer
10669681458,121,Reject
10612533164,290,Refer
10960735342,299,Refer
10631557874,361,Accept
10943218606,152,Refer
10979850234,269,Refer
10665360452,202,Refer
10643526933,216,Refer
10800697549,351,Accept
10668701851,315,Accept
10015331771,289,Refer
10582063245,259,Refer
10273273706,147,Refer
10014774493,326,Accept
10363543264,288,Refer
10443381193,148,Refer
10133781320,168,Refer
10570533945,220,Refer
10709790640,352,Accept
10638667566,249,Refer
10594473430,117,Reject
10692543927,156,Refer
10129273485,380,Accept
10242284916,177,Refer
10288580376,297,Refer
10121277251,166,Refer
10723195484,375,Accept
10528880297,204,Refer
10016212583,104,Reject
10070049502,270,Refer
10356913767,205,Refer
10137960815,318,Accept
10916206557,329,Accept
10699635952,215,Refer
10458026006,145,Refer
10304199279,373,Accept
10547535816,179,Refer
10064580433,279,Refer
10869794306,162,Refer
10562240072,311,Accept
10417967987,182,Refer
10383848897,325,Accept
10528829185,83,Reject
10035527227,287,Refer
10423282674,342,Accept
10438033354,246,Refer
10121937125,151,Refer
10857359794,242,Refer
10786086397,114,Reject
10353681392,377,Accept
10519975731,133,Reject
10039663690,385,Accept
10344894150,223,Refer
10490257482,352,Accept
10879626597,318,Accept
10858158330,188,Refer
10534294267,373,Accept
10558598424,200,Refer
10742231541,300,Refer
10999972186,229,Refer
10850996279,454,Accept
10507056682,240,Refer
10055359881,306,Accept
10808155184,174,Refer
10581918559,202,Refer
10411320357,364,Accept
10235529334,380,Accept
10429021431,272,Refer
10850001458,352,Accept
10288890671,80,Reject
10267666698,340,Accept
10392246839,214,Refer
10089209738,276,Refer
10244088507,210,Refer
10995049365,385,Accept
10430783022,259,Refer
10494321053,319,Accept
10050673381,343,Accept
10631218982,112,Reject
10706210306,320,Accept
10540780347,363,Accept
10324798096,294,Refer
10319636638,247,Refer
10238087577,257,Refer
10208167099,340,Accept
10501870378,337,Accept
10201828667,195,Refer
10936167614,365,Accept
10955365000,78,Reject
10138289291,288,Refer
10875354181,91,Reject
10649901557,172,Refer
10031918328,126,Reject
10163485210,150,Refer
10749536313,268,Refer
10674276973,137,Reject
10492141221,127,Reject
10583982302,324,Accept
10260680073,379,Accept
10786145469,89,Reject
10104728888,234,Refer
10904573047,373,Accept
10992891769,336,Accept
10267516595,314,Accept
10252707419,311,Accept
10939117597,174,Refer
10314281960,204,Refer
10180448210,322,Accept
10158275690,230,Refer
10716783258,385,Accept
10050078408,226,Refer
10679153285,287,Refer
10352725194,329,Accept
10009464538,104,Reject
10952899327,423,Accept
10297400445,198,Refer
10410201334,351,Accept
10979333257,263,Refer
10949648935,277,Refer
10077911672,370,Accept
10559387639,323,Accept
10661517432,220,Refer
10443113026,344,Accept
10014648353,387,Accept
10222506119,266,Refer
10156099117,281,Refer
10327188902,338,Accept
10217093963,321,Accept
10490235451,130,Reject
10866718419,223,Refer
10802269145,303,Accept
10575997141,330,Accept
10284157990,192,Refer
10414624931,361,Accept
10497887823,243,Refer
10610122036,44,Reject
